b,k,periodo,estabilidad
ExactReal{Float64}(-11.75),ExactReal{Float64}(-43),3,"Inestable porque existe landa = [-5.34592, -5.34591]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-43),4,"Inestable porque existe landa = [-2.21429, -2.21428]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-43),5,"Inestable porque existe landa = [-141.412, -141.41]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-43.25),3,"Inestable porque existe landa = [65.2516, 65.2517]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-43.25),4,"Inestable porque existe landa = [-2.12639, -2.12637]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-43.25),5,"Inestable porque existe landa = [42.3897, 42.3898]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-43.5),2,"Inestable porque existe landa = [-9.80068, -9.80067]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-43.5),3,"Inestable porque existe landa = [66.0004, 66.0005]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-43.5),4,"Inestable porque existe landa = [-2.00465, -2.00464]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-43.75),2,"Inestable porque existe landa = [-9.87322, -9.87321]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-43.75),4,"Inestable porque existe landa = [-1.85789, -1.85788]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44),2,"Inestable porque existe landa = [-9.94494, -9.94492]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44),3,"Inestable porque existe landa = [67.4785, 67.4786]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44),4,"Inestable porque existe landa = [-1.69212, -1.69211]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44),5,"Inestable porque existe landa = [49.3274, 49.3275]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44.25),2,"Inestable porque existe landa = [-10.0159, -10.0158]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44.25),3,"Inestable porque existe landa = [-6.16186, -6.16185]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44.25),4,"Inestable porque existe landa = [22.5697, 22.5698]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44.5),2,"Inestable porque existe landa = [-10.086, -10.0859]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44.5),3,"Inestable porque existe landa = [-6.31956, -6.31955]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44.5),4,"Inestable porque existe landa = [-1.31923, -1.31922]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44.5),5,"Inestable porque existe landa = [53.8601, 53.8602]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44.75),2,"Inestable porque existe landa = [-10.1553, -10.1552]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44.75),3,"Inestable porque existe landa = [-6.4755, -6.47549]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-44.75),4,"Inestable porque existe landa = [-1.11747, -1.11746]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-45),2,"Inestable porque existe landa = [-10.2239, -10.2238]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-45),3,"Inestable porque existe landa = [70.3599, 70.36]_com con |landa| > 1"
ExactReal{Float64}(-11.75),ExactReal{Float64}(-45),4,"Estable porque existe landa = [-0.908026, -0.908025]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-15.25),2,"Inestable porque existe landa = [-1.49675, -1.49674]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-15.75),2,"Inestable porque existe landa = [-1.98555, -1.98554]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-16),2,"Inestable porque existe landa = [-2.16238, -2.16237]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-16.25),2,"Inestable porque existe landa = [-2.30017, -2.30016]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-16.5),2,"Inestable porque existe landa = [-2.40281, -2.4028]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-17),2,"Inestable porque existe landa = [-2.51608, -2.51607]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-17.25),2,"Inestable porque existe landa = [-2.53249, -2.53248]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-17.5),2,"Inestable porque existe landa = [-2.52541, -2.5254]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-18),2,"Inestable porque existe landa = [-2.44904, -2.44902]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-18.25),2,"Inestable porque existe landa = [-2.3833, -2.38329]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-18.5),2,"Inestable porque existe landa = [-2.30124, -2.30123]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-18.75),2,"Inestable porque existe landa = [-2.20417, -2.20416]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-19.25),2,"Inestable porque existe landa = [-1.96946, -1.96944]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-19.5),2,"Inestable porque existe landa = [-1.83376, -1.83375]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-20),2,"Inestable porque existe landa = [-1.52978, -1.52977]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-20),4,"Estable porque existe landa = [-0.766618, -0.766617]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-20.25),2,"Inestable porque existe landa = [-1.36287, -1.36285]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-20.25),4,"Estable porque existe landa = [-0.302108, -0.302107]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-20.75),2,"Inestable porque existe landa = [-1.00213, -1.00212]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-21),2,"Estable porque existe landa = [-0.80934, -0.809339]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-21.25),2,"Estable porque existe landa = [-0.6089, -0.608899]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-21.5),2,"Estable porque existe landa = [-0.40127, -0.401269]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-21.75),2,"Estable porque existe landa = [-0.186942, -0.186941]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-22),2,"Estable porque existe landa = [0.0334786, 0.0334787]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-22.25),2,"Estable porque existe landa = [0.259034, 0.259035]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-22.5),2,"Estable porque existe landa = [0.487543, 0.487544]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-22.75),2,"Estable porque existe landa = [0.710498, 0.710499]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-23),2,"Estable porque existe landa = [0.854643, 0.854644]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-23.25),2,"Estable porque existe landa = [0.717793, 0.717794]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-23.5),2,"Estable porque existe landa = [0.494865, 0.494866]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-23.75),2,"Estable porque existe landa = [0.264833, 0.264834]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-24),2,"Estable porque existe landa = [0.0363402, 0.0363403]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-24.25),2,"Estable porque existe landa = [-0.188766, -0.188764]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-24.5),2,"Estable porque existe landa = [-0.409939, -0.409938]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-24.75),2,"Estable porque existe landa = [-0.62702, -0.627019]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-25),2,"Estable porque existe landa = [-0.839993, -0.839992]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-25.25),2,"Inestable porque existe landa = [-1.04891, -1.0489]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-25.5),2,"Inestable porque existe landa = [-1.25383, -1.25382]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-25.5),4,"Estable porque existe landa = [0.0303384, 0.0303385]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-25.75),2,"Inestable porque existe landa = [-1.45485, -1.45484]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-26.25),2,"Inestable porque existe landa = [-1.84556, -1.84555]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-26.5),2,"Inestable porque existe landa = [-2.03544, -2.03543]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-26.5),4,"Inestable porque existe landa = [-2.40855, -2.40854]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-26.75),4,"Inestable porque existe landa = [-2.87306, -2.87304]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-27),2,"Inestable porque existe landa = [-2.40473, -2.40472]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-27),4,"Inestable porque existe landa = [-3.28564, -3.28563]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-27.25),2,"Inestable porque existe landa = [-2.58432, -2.58431]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-27.5),2,"Inestable porque existe landa = [-2.76066, -2.76065]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-27.75),2,"Inestable porque existe landa = [-2.93384, -2.93382]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-28),2,"Inestable porque existe landa = [-3.10393, -3.10392]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-28.25),2,"Inestable porque existe landa = [-3.27102, -3.27101]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-28.25),4,"Inestable porque existe landa = [-4.59618, -4.59617]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-28.5),3,"Estable porque existe landa = [-0.889451, -0.88945]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-28.75),2,"Inestable porque existe landa = [-3.59651, -3.5965]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-28.75),3,"Inestable porque existe landa = [6.12666, 6.12667]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-28.75),4,"Inestable porque existe landa = [-4.72097, -4.72096]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-29),3,"Inestable porque existe landa = [-2.17351, -2.17349]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-29),4,"Inestable porque existe landa = [13.4069, 13.407]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-29.25),2,"Inestable porque existe landa = [-3.91089, -3.91088]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-29.25),4,"Inestable porque existe landa = [-4.48913, -4.48912]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-29.5),2,"Inestable porque existe landa = [-4.06409, -4.06408]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-29.5),3,"Inestable porque existe landa = [-2.45637, -2.45636]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-29.75),3,"Inestable porque existe landa = [-2.46971, -2.4697]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-29.75),4,"Inestable porque existe landa = [8.46217, 8.46218]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-29.75),5,"Inestable porque existe landa = [-66.36, -66.3599]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-30),2,"Inestable porque existe landa = [-4.36284, -4.36283]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-30),3,"Inestable porque existe landa = [-2.43236, -2.43235]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-30),4,"Inestable porque existe landa = [-103.38, -103.379]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-30.25),2,"Inestable porque existe landa = [-4.50852, -4.50851]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-30.25),3,"Inestable porque existe landa = [-2.3576, -2.35759]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-30.25),5,"Inestable porque existe landa = [-82.4927, -82.4926]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-30.5),2,"Inestable porque existe landa = [-4.65181, -4.6518]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-30.5),3,"Inestable porque existe landa = [-2.25423, -2.25422]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-30.75),2,"Inestable porque existe landa = [-4.79277, -4.79276]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-30.75),3,"Inestable porque existe landa = [-2.12832, -2.12831]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-31),2,"Inestable porque existe landa = [-4.93147, -4.93146]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-31),3,"Inestable porque existe landa = [19.5558, 19.5559]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-31.25),2,"Inestable porque existe landa = [-5.06794, -5.06793]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-31.25),3,"Inestable porque existe landa = [-1.82529, -1.82527]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-31.5),2,"Inestable porque existe landa = [-5.20225, -5.20224]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-31.5),3,"Inestable porque existe landa = [-1.65384, -1.65383]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-31.75),2,"Inestable porque existe landa = [-5.33445, -5.33444]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-31.75),3,"Inestable porque existe landa = [-1.47182, -1.47181]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-32),2,"Inestable porque existe landa = [-5.46458, -5.46457]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-32),3,"Inestable porque existe landa = [24.3558, 24.3559]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-32.25),2,"Inestable porque existe landa = [-5.5927, -5.59269]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-32.25),3,"Inestable porque existe landa = [25.502, 25.5022]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-32.5),3,"Estable porque existe landa = [-0.875636, -0.875635]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-32.5),4,"Inestable porque existe landa = [-183.139, -183.138]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-32.75),2,"Inestable porque existe landa = [-5.84307, -5.84306]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-32.75),3,"Estable porque existe landa = [-0.663508, -0.663506]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-33),3,"Estable porque existe landa = [-0.446015, -0.446014]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-33.25),2,"Inestable porque existe landa = [-6.08592, -6.0859]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-33.25),3,"Estable porque existe landa = [-0.223949, -0.223947]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-33.5),3,"Estable porque existe landa = [0.00168399, 0.001684]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-33.5),4,"Inestable porque existe landa = [-214.017, -214.016]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-33.75),2,"Inestable porque existe landa = [-6.32157, -6.32156]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-33.75),3,"Inestable porque existe landa = [32.0279, 32.028]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-34),2,"Inestable porque existe landa = [-6.43679, -6.43678]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-34),3,"Estable porque existe landa = [0.454492, 0.454493]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-34.25),2,"Inestable porque existe landa = [-6.55034, -6.55033]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-34.25),3,"Inestable porque existe landa = [34.0881, 34.0882]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-34.25),5,"Inestable porque existe landa = [-233.726, -233.725]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-34.5),2,"Inestable porque existe landa = [-6.66224, -6.66223]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-34.5),3,"Estable porque existe landa = [0.782197, 0.782198]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-34.75),2,"Inestable porque existe landa = [-6.77253, -6.77252]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-34.75),3,"Estable porque existe landa = [0.678757, 0.678758]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-34.75),5,"Inestable porque existe landa = [-254.798, -254.797]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-35),3,"Estable porque existe landa = [0.472411, 0.472412]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-35.25),2,"Inestable porque existe landa = [-6.98843, -6.98842]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-35.25),3,"Estable porque existe landa = [0.246249, 0.24625]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-35.25),4,"Inestable porque existe landa = [-266.901, -266.9]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-35.25),5,"Inestable porque existe landa = [-276.206, -276.205]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-35.5),2,"Inestable porque existe landa = [-7.09409, -7.09408]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-35.5),3,"Estable porque existe landa = [0.0162685, 0.0162687]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-35.5),5,"Inestable porque existe landa = [-287.024, -287.023]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-35.75),2,"Inestable porque existe landa = [-7.19828, -7.19827]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-35.75),3,"Estable porque existe landa = [-0.213444, -0.213443]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-36),2,"Inestable porque existe landa = [-7.30102, -7.30101]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-36),3,"Estable porque existe landa = [-0.441463, -0.441462]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-36.25),3,"Estable porque existe landa = [-0.667197, -0.667196]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-36.25),4,"Inestable porque existe landa = [-296.461, -296.46]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-36.5),2,"Inestable porque existe landa = [-7.50229, -7.50228]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-36.5),3,"Estable porque existe landa = [-0.890375, -0.890374]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-36.75),2,"Inestable porque existe landa = [-7.60087, -7.60085]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-36.75),3,"Inestable porque existe landa = [-1.11088, -1.11087]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-37),3,"Inestable porque existe landa = [44.6006, 44.6007]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-37.25),2,"Inestable porque existe landa = [-7.79405, -7.79404]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-37.25),3,"Inestable porque existe landa = [-1.54367, -1.54366]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-37.5),2,"Inestable porque existe landa = [-7.88872, -7.88871]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-37.5),3,"Inestable porque existe landa = [46.3819, 46.382]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-37.75),2,"Inestable porque existe landa = [-7.98213, -7.98211]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-38),2,"Inestable porque existe landa = [-8.07431, -8.0743]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-38),3,"Inestable porque existe landa = [-2.17245, -2.17243]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-38.25),2,"Inestable porque existe landa = [-8.16528, -8.16527]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-38.5),2,"Inestable porque existe landa = [-8.25508, -8.25507]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-38.5),5,"Inestable porque existe landa = [-421.14, -421.139]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-38.75),3,"Inestable porque existe landa = [-2.77747, -2.77746]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-39),2,"Inestable porque existe landa = [-8.43121, -8.4312]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-39.25),2,"Inestable porque existe landa = [-8.5176, -8.51759]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-39.25),5,"Inestable porque existe landa = [-455.48, -455.479]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-39.5),3,"Inestable porque existe landa = [-3.35984, -3.35983]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-39.5),5,"Inestable porque existe landa = [-4.42074, -4.42073]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-39.75),2,"Inestable porque existe landa = [-8.68711, -8.6871]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-39.75),3,"Inestable porque existe landa = [-3.54913, -3.54911]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-40),3,"Inestable porque existe landa = [-3.73606, -3.73605]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-40),5,"Inestable porque existe landa = [-6.09619, -6.09618]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-40.25),2,"Inestable porque existe landa = [-8.85241, -8.8524]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-40.25),3,"Inestable porque existe landa = [-3.92069, -3.92068]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-40.25),5,"Inestable porque existe landa = [15.1608, 15.1609]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-40.5),2,"Inestable porque existe landa = [-8.93353, -8.93352]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-40.5),3,"Inestable porque existe landa = [56.3622, 56.3623]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-40.5),5,"Inestable porque existe landa = [-6.59169, -6.59168]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-40.75),3,"Inestable porque existe landa = [-4.2832, -4.28319]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-40.75),5,"Inestable porque existe landa = [-524.584, -524.583]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41),2,"Inestable porque existe landa = [-9.0928, -9.09279]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41),3,"Inestable porque existe landa = [-4.46115, -4.46114]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41),4,"Estable porque existe landa = [-0.688972, -0.688971]_com con |landa| < 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41),5,"Inestable porque existe landa = [-6.33631, -6.3363]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41.25),3,"Inestable porque existe landa = [-4.63696, -4.63695]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41.25),4,"Inestable porque existe landa = [-1.59781, -1.59779]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41.5),2,"Inestable porque existe landa = [-9.24824, -9.24822]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41.5),3,"Inestable porque existe landa = [-4.81065, -4.81064]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41.5),4,"Inestable porque existe landa = [8.43061, 8.43062]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41.5),5,"Inestable porque existe landa = [-5.09752, -5.0975]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41.75),2,"Inestable porque existe landa = [-9.32456, -9.32455]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41.75),3,"Inestable porque existe landa = [-4.98228, -4.98226]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41.75),4,"Inestable porque existe landa = [-2.06309, -2.06308]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-41.75),5,"Inestable porque existe landa = [-3.66535, -3.66534]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-42),2,"Inestable porque existe landa = [-9.39997, -9.39996]_com con |landa| > 1"
ExactReal{Float64}(-11.5),ExactReal{Float64}(-42),3,"Inestable porque existe landa = [-5.15186, -5.15185]_com con |landa| > 1"
